Tenure Months,Total Charges,Churn Value,Churn Score,CLTV,Geo Cluster,Gender_Male,Senior Citizen_Yes,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_Yes,Online Backup_Yes,Device Protection_Yes,Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Contract_encoded
6,366,1,84,2304,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1
20,4874,1,68,5698,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0
12,1865,1,68,3247,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0
13,3512,1,65,3035,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0
3,4224,1,61,3218,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0
5,3270,1,99,3772,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0
4,2917,1,97,5699,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0
5,471,1,83,5116,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
3,1369,1,80,5898,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
14,532,1,85,3377,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
16,1497,1,61,4277,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0
9,4674,1,70,5050,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0
19,3697,1,84,4261,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1
3,3989,1,84,3440,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1
1,2034,1,66,3218,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
13,4739,1,97,2902,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0
16,3139,1,64,2263,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
18,4366,1,61,5803,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0
17,2791,1,92,3701,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0
10,687,1,78,4685,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1
18,3271,1,77,2364,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0
15,4523,1,92,5103,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0
10,2196,1,58,4043,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1
10,2332,1,77,3734,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1
20,607,1,55,4363,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1
20,4856,1,64,3607,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0
11,2441,1,62,4962,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0
16,2332,1,81,2843,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1
17,2365,1,92,5643,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1
10,3974,1,97,5488,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1
10,3043,1,90,5789,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0
19,1629,1,67,2407,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0
12,3067,1,62,5996,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
3,2302,1,90,4210,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1
6,508,1,62,5998,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1
6,3918,1,95,3745,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1
20,946,1,78,2711,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
17,3789,1,95,2510,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0
15,4044,1,95,4518,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
19,4036,1,99,4895,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1
1,4156,1,71,2401,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1
6,2433,1,85,3501,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0
18,3538,1,87,5026,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1
5,4640,1,89,3781,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1
16,3739,1,75,4699,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1
6,1930,1,63,5880,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0
8,1799,1,99,4636,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0
15,4105,1,61,4842,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
12,946,1,85,2916,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1
19,1024,1,83,5103,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
3,3079,1,93,5392,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0
14,994,1,96,4790,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1
19,2931,1,79,5057,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1
10,2254,1,54,2725,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0
11,2884,1,75,4518,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
9,4231,1,65,2789,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
9,1810,1,54,4641,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0
2,1918,1,90,2684,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1
3,4755,1,71,4588,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0
17,2765,1,94,5464,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0
10,4501,1,56,4573,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
18,2470,1,93,5962,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1
19,3352,1,97,4475,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0
20,4770,1,95,5489,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1
1,4654,1,90,3544,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0
1,3565,1,80,3579,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
2,4095,1,88,2630,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1
1,1929,1,87,2311,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0
7,2888,1,53,4128,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1
9,3779,1,50,4674,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0
16,4457,1,92,5381,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0
6,2877,1,86,5438,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0
2,3781,1,88,4413,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1
12,2062,1,73,4443,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0
16,3938,1,86,5750,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0
6,1873,1,62,5010,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1
18,1743,1,70,5235,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
3,772,1,95,5129,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1
13,2732,1,93,5216,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1
4,4891,1,67,5210,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1
9,1535,1,100,3838,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1
4,3670,1,59,3749,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0
19,1157,1,75,5726,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0
15,344,1,79,4534,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1
18,1896,1,70,5169,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1
12,399,1,84,3687,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1
20,1916,1,63,5649,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
1,1685,1,94,5340,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1
19,2669,1,67,5280,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0
9,4871,1,50,2291,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0
4,332,1,73,5548,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0
6,3228,1,76,4723,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1
11,1387,1,92,2797,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1
